제목,카테고리,hex1,hex2,hex3,hex4,hex5,hex1rate,hex2rate,hex3rate,hex4rate,hex5rate
4와 2분의 1 정거장,BL,#fefcf7,#fcd3d0,#fa8364,#f6ae9f,#dd3536,0.3608413938492063,0.2529296875,0.18111669146825396,0.10763268849206349,0.0974795386904762
BL의 정석,BL,#e5e8e9,#3294c2,#282b2e,#6a7073,#b6b8b9,0.5950799851190476,0.12825520833333334,0.10649181547619048,0.08582589285714286,0.08434709821428571
Not so bad(낫 소 배드),BL,#fdf6f1,#301633,#f3d9c4,#6a3661,#b78493,0.5373635912698412,0.17666790674603175,0.17008308531746033,0.06378658234126984,0.052098834325396824
Take on Me,BL,#f2f5f1,#f0cac2,#d48a8e,#934b5e,#441c28,0.5487289186507937,0.15022941468253967,0.12866133432539684,0.09216889880952381,0.08021143353174603
[BL] 새비지 가든 [일반판],BL,#fdf8f0,#65504d,#a39796,#e0c3ae,#251a16,0.32442646329365077,0.28246837797619045,0.1484437003968254,0.13502914186507936,0.10963231646825397
[BL] 스머프 월드 [일반판],BL,#242538,#f0f2f2,#eaccc3,#c09c9b,#7b686f,0.32796999007936506,0.2582434275793651,0.21024305555555556,0.13469742063492063,0.06884610615079365
강아지는 사랑을 숨기지 못해,BL,#fcf2ed,#eed2c2,#b25d7d,#c7999f,#7f4858,0.414391121031746,0.2105375744047619,0.15317460317460319,0.13075706845238094,0.09113963293650794
"거짓말, 뱀파이어가 어디 있어",BL,#c49174,#fae2d9,#e0b49f,#7e5949,#503125,0.33786272321428573,0.24148375496031746,0.21244109623015872,0.12666170634920634,0.08155071924603174
겉 뿐인 관계,BL,#f3eeee,#23262d,#c7c1c5,#4e4d53,#8d8488,0.40750868055555556,0.20872085813492064,0.1999937996031746,0.13120969742063493,0.052566964285714286
게으른 남자의 욕망 스위치,BL,#f0e8e8,#d0c2c1,#7c798d,#3c4051,#13131b,0.44347718253968255,0.20854414682539682,0.13765190972222222,0.13637772817460317,0.07394903273809524
결혼학개론,BL,#fdf9f6,#edd1b0,#c19977,#6a596b,#1d1328,0.2889882100750268,0.2631153983565559,0.25702250803858523,0.11394212218649517,0.0769317613433369
고독한 미인과 햇살 동정남[개정판],BL,#f402b0,#754651,#868fae,#faead7,#e0b290,0.252960689484127,0.22942708333333334,0.20322420634920635,0.16008494543650795,0.1543030753968254
고양이에게 바치는 커튼콜,BL,#fd016e,#f8decd,#d64c59,#484a5a,#cc9595,0.2611204117063492,0.24638826884920634,0.2142826140873016,0.13997705853174602,0.13823164682539682
과묵한 친구는 사실 욕정 중입니다(개정판),BL,#fbf9f9,#f1d4c1,#d9a484,#ae6360,#4f3c35,0.398961433531746,0.22685701884920634,0.15234375,0.13698846726190475,0.08484933035714286
구미호도 사랑을 하나요,BL,#e3d8e4,#bda4b4,#c0464f,#be747e,#3a1c16,0.3093408978174603,0.25500372023809526,0.19813988095238094,0.14563182043650794,0.09188368055555556
권태,BL,#534f49,#35322f,#ae9f8c,#7d756d,#c4bdb5,0.34208829365079363,0.3359033978174603,0.1298828125,0.1175936259920635,0.07453187003968254
귀애-눈꽃에 새기는 약속,BL,#f6f3f1,#e8d9d1,#c9a6a0,#886269,#542f34,0.4605499751984127,0.2888082837301587,0.09097532242063493,0.08996155753968255,0.06970486111111111
귀여워,BL,#985d5d,#7a4445,#5d3c36,#f9b370,#230406,0.37764756944444444,0.2113312251984127,0.18364955357142856,0.1636904761904762,0.0636811755952381
그 남자의 사랑방식,BL,#342229,#fdf9f5,#d69190,#875553,#9b1e20,0.41318824404761906,0.222265625,0.13635292658730158,0.1259734623015873,0.10221974206349206
그 비는 돌아오지 않는다,BL,#342f30,#b8afaf,#7c7a79,#5d5151,#ebeef4,0.2558407738095238,0.2335534474206349,0.2296906001984127,0.17549913194444444,0.10541604662698413
그가 남긴 연인(개정판),BL,#fddfcb,#a7746e,#fefefd,#634f68,#dea88f,0.3113219246031746,0.19444754464285716,0.17885044642857142,0.15824962797619047,0.15713045634920636
그림자 왕관,BL,#f1eef4,#c6bac6,#ad9690,#815d6e,#392f4d,0.31243179563492063,0.26784474206349207,0.1792937748015873,0.12086433531746031,0.11956535218253968
기브업(Give up) [BL],BL,#262d3e,#e8d0e1,#af8784,#d83eee,#5628dc,0.35359312996031744,0.23680555555555555,0.22760106646825398,0.11441592261904762,0.06758432539682539
꺼진 불도 다시 보라,BL,#e1eff3,#343a4e,#78614c,#f6d9c5,#b2ab8a,0.2920479910714286,0.21764632936507936,0.20417906746031747,0.16705109126984127,0.11907552083333334
꿈꾸는 먹잇감,BL,#fef2ec,#ecc1c4,#bd8c8f,#67525f,#3c2935,0.4130673363095238,0.3220486111111111,0.10026351686507937,0.09603794642857143,0.06858258928571428
꿰인 사이,BL,#f9f0f1,#e6c4c8,#6d5f76,#3f2e3c,#be939f,0.4416585466583208,0.26043609284557356,0.1100976336897533,0.09966638058425342,0.0881413462220989
"나비, 호랑이를 물다",BL,#695c6f,#e9d9d4,#9c9cb4,#24161d,#dd987e,0.2714347718253968,0.24025607638888888,0.23467261904761905,0.14404761904761904,0.10958891369047619
나비랑 호랑이 너희 말고,BL,#f1cbb5,#f9f2f0,#c1968d,#67646b,#2a2138,0.37922557043650795,0.22047371031746033,0.16382378472222223,0.12915116567460316,0.10732576884920635
낙오된 알파와 엘리트 오메가,BL,#fefefe,#202839,#515a73,#e0c9cf,#a9909b,0.6746217757936508,0.11996527777777778,0.09225880456349206,0.07166728670634921,0.04148685515873016
남자를 좋아해도 될까,BL,#867e88,#656575,#beadb9,#3b323a,#eae0dd,0.3316344246031746,0.2816499255952381,0.18194754464285715,0.1148499503968254,0.08991815476190476
내 나이 서른,BL,#6f7866,#403e47,#b9b591,#f7e6db,#110809,0.258828125,0.21686921296296297,0.2067505787037037,0.20374131944444446,0.11381076388888889
내 소원을 들어줘,BL,#fbeff1,#4875ab,#d7c7cb,#9b8d91,#3e4053,0.586594742063492,0.1568824404761905,0.11551029265873015,0.08979414682539683,0.05121837797619048
내 약혼자는 꽃미남,BL,#292430,#fdfaf9,#e5d4d5,#c3a3a6,#796676,0.37759796626984127,0.3336092509920635,0.11244109623015873,0.10827442956349206,0.06807725694444444
"내일, 네 거로 만들어 줘",BL,#f3ebd8,#0f416e,#dec3c1,#b08c8b,#7f4653,0.5865668402777777,0.1549293154761905,0.1126891121031746,0.09272693452380952,0.05308779761904762
너를 만난 후부터 나는,BL,#f6f7f7,#bfd2d3,#726c6c,#29211e,#fbd7a3,0.5750155009920634,0.20673673115079366,0.07993241567460317,0.077734375,0.060580977182539686
너와의 거리,BL,#dae8f2,#fcdbda,#4e414c,#907886,#b5a0aa,0.42863033234126985,0.27177889384920634,0.12607576884920635,0.11335255456349207,0.0601624503968254
너의 각인,BL,#fefcfb,#f6d5cc,#dbaaa3,#93726e,#5a3b3c,0.3359157986111111,0.30057353670634923,0.21305803571428572,0.09105592757936508,0.05939670138888889
네게 취한 날들,BL,#504c5f,#9a6d68,#2f171c,#e5976e,#fce1a2,0.3275855654761905,0.23030753968253967,0.19598524305555556,0.14705791170634921,0.09906374007936508
누각의 미인,BL,#fdfdf7,#efe5b5,#bdb57d,#c56a56,#6f613f,0.5028769841269841,0.18860367063492064,0.13707837301587303,0.10668092757936508,0.06476004464285715
누구든 좋으니까 안아줘,BL,#e5006d,#fbe2db,#e9aeac,#313146,#8d6978,0.6072575644841269,0.24459015376984128,0.08723338293650794,0.04971478174603174,0.011204117063492064
당신을 바라보는 건 너무 힘들어,BL,#fdebda,#f7c1b1,#a65052,#e28f85,#6a2a2e,0.3894074074074074,0.21815277777777778,0.1486898148148148,0.1418888888888889,0.10186111111111111
대표님과 연애를 시작했습니다,BL,#f7e58c,#f9efe5,#534f6c,#4e2a28,#b9937e,0.43736669146825397,0.20192832341269842,0.14815538194444444,0.11205977182539682,0.10048983134920635
도시의 사랑,BL,#f1efee,#9bccdf,#cab9bf,#227fca,#777e8d,0.34641307043650793,0.20432167658730158,0.20171130952380953,0.1560670882936508,0.09148685515873016
"돌아봐줘, 유키노",BL,#f2e7e6,#d6cccc,#4e4e50,#bbaca7,#9c8984,0.39054439484126985,0.18200024801587303,0.16049727182539683,0.14894593253968255,0.11801215277777778
돌아와줘,BL,#e1e1e7,#333046,#555d96,#77a2e1,#b69ca2,0.2833116319444444,0.28076946924603174,0.18599330357142857,0.1435732886904762,0.10635230654761904
디기탈리스,BL,#101f37,#baa99b,#7c7b81,#3b4656,#f3ead8,0.48623511904761907,0.15891617063492064,0.14459325396825398,0.1407986111111111,0.06945684523809524
라이어 [BL],BL,#f9efeb,#4c3d4b,#191319,#827275,#c5aeb1,0.3254464285714286,0.2142113095238095,0.1693452380952381,0.15304439484126983,0.13795262896825397
란덴과 사가,BL,#0b091b,#f6ddd0,#fefdfb,#f1bc79,#8e6040,0.330109126984127,0.25414806547619045,0.18444010416666667,0.1669952876984127,0.06430741567460317
러브 포엠,BL,#f3f7f7,#686b64,#e4b3a2,#b48578,#27282e,0.3888516865079365,0.1962797619047619,0.16554749503968255,0.13716517857142857,0.11215587797619048
럽미닥터(개정판),BL,#9ba5bf,#5d769f,#e6d0d2,#252742,#d29889,0.4049634176587302,0.2275421626984127,0.2089750744047619,0.1005952380952381,0.057924107142857145
로미오의 순정,BL,#99a1cd,#536990,#f5e6d5,#2c3959,#e3c3a0,0.3994326636904762,0.2441220238095238,0.1400576636904762,0.11668836805555556,0.09969928075396825
록 어 바이 디어,BL,#eae7e8,#21272c,#424e5a,#607b98,#8cb4ce,0.6418371775793651,0.13453311011904762,0.09563802083333334,0.07874813988095238,0.049243551587301586
마계에 핀 봄꽃,BL,#dac1c3,#faf2f0,#7c717d,#44343c,#c38c57,0.2460813492063492,0.23952132936507936,0.2214905753968254,0.20006200396825397,0.09284474206349207
마도조사 [웹툰],BL,#271d1d,#5b423b,#f2e6d8,#857e7b,#c1aa9e,0.34818638392857143,0.1960999503968254,0.18253968253968253,0.17266555059523808,0.10050843253968254
마스크 남자는 사랑하고 싶지 않은데,BL,#b6afa3,#edece5,#867566,#37302f,#c7db68,0.30386594742063494,0.28109499007936506,0.19130084325396826,0.13742249503968254,0.08631572420634921
메리 메모리,BL,#f3edf0,#d5c5c5,#a5908f,#6e5b5a,#231617,0.6629340277777778,0.1302920386904762,0.11990637400793651,0.05066034226190476,0.03620721726190476
메리 수,BL,#dcbbb9,#faf7f2,#ca9a99,#4e3b4e,#966870,0.38897259424603176,0.29442584325396826,0.14735553075396826,0.09521949404761905,0.07402653769841269
명령불복종,BL,#faf3df,#e1c38d,#3d3532,#8b7258,#e5c126,0.3808996775793651,0.21283792162698412,0.21245039682539682,0.1425874255952381,0.051224578373015875
모래성,BL,#f0e6d8,#fefdf7,#c0aba2,#8a7b7d,#4e4042,0.5560298859126984,0.2236359126984127,0.12590835813492063,0.060069444444444446,0.03435639880952381
모어 댄 블루,BL,#fffefd,#f3e2d5,#c2b4b5,#9e686f,#482d34,0.49113033234126985,0.2077721974206349,0.14201388888888888,0.09993179563492063,0.05915178571428571
묘한 그녀석,BL,#d8c6cb,#f8f3f3,#c29e9d,#a6555b,#41292e,0.2988653273809524,0.2402436755952381,0.1750217013888889,0.15694754464285715,0.1289217509920635
무지한 나와 나쁜 짓,BL,#fdfbfa,#edd0c3,#5e373a,#c29d9b,#97676a,0.30321490575396826,0.26284722222222223,0.18462921626984127,0.1357452876984127,0.11356336805555556
미로의 행진곡,BL,#e4dfdd,#4e3d3a,#ccad93,#a56858,#1b100d,0.3129712301587302,0.26845858134920636,0.2135137648809524,0.12702442956349205,0.07803199404761904
바람이 머무는 자리,BL,#faede2,#ddb4a0,#9f6566,#3f3740,#860f0b,0.2825365823412698,0.2775483630952381,0.21511966765873017,0.17586185515873015,0.048933531746031746
박배우X김남팬,BL,#fcf1e9,#323131,#9c8273,#070505,#d6bcb4,0.42544332837301585,0.18077256944444445,0.1466641865079365,0.12428695436507936,0.12283296130952381
박쥐사육,BL,#3c0d0a,#faf9f8,#424e5a,#040101,#89756a,0.6396546378968254,0.1324404761904762,0.07829861111111111,0.07501240079365079,0.0745938740079365
밥만 잘 사주는 이상한 이사님,BL,#fbf9f7,#9297b7,#565968,#101011,#d1aea0,0.4019314236111111,0.2179532490079365,0.20638020833333334,0.1046999007936508,0.06903521825396826
