제목,카테고리,hex1,hex2,hex3,hex4,hex5,hex1rate,hex2rate,hex3rate,hex4rate,hex5rate,file_path
4와 2분의 1 정거장,BL,#fefcf7,#fcd2cf,#fa8263,#f6ae9d,#dd3435,0.3627418154761905,0.2541108630952381,0.181476314484127,0.10666852678571428,0.09500248015873015,4와 2분의 1 정거장.jpg
BL의 정석,BL,#e5e8e9,#3294c2,#282b2e,#6a6f73,#b6b7b9,0.5952969990079365,0.12825210813492063,0.1064360119047619,0.0855623759920635,0.08445250496031746,BL의 정석.jpg
Not so bad(낫 소 배드),BL,#fdf6f1,#301632,#f3d9c4,#693560,#b68293,0.5380332341269841,0.17491629464285716,0.16995287698412698,0.0646391369047619,0.05245845734126984,Not so bad(낫 소 배드).jpg
Take on Me,BL,#f2f5f1,#f0c9c2,#d4898d,#914a5d,#431c27,0.5502542162698413,0.14949156746031747,0.12946118551587302,0.09212239583333333,0.07867063492063492,Take on Me.jpg
[BL] 새비지 가든 [일반판],BL,#fdf8f0,#65504d,#a39796,#e1c3ae,#251916,0.3239645337301587,0.2827659970238095,0.14905443948412697,0.13491443452380952,0.10930059523809524,[BL] 새비지 가든 [일반판].jpg
[BL] 스머프 월드 [일반판],BL,#242538,#f0f2f2,#ebcdc3,#c19c9b,#7b6870,0.32818700396825395,0.25649801587301585,0.2099764384920635,0.13596540178571428,0.06937313988095238,[BL] 스머프 월드 [일반판].jpg
강아지는 사랑을 숨기지 못해,BL,#fcf2ed,#edd1c2,#b25d7c,#c7989e,#7f4858,0.41613653273809526,0.21085999503968253,0.15217633928571428,0.13045634920634921,0.09037078373015874,강아지는 사랑을 숨기지 못해.jpg
"거짓말, 뱀파이어가 어디 있어",BL,#c49174,#fae2d9,#e0b49f,#7d5849,#503125,0.33674355158730157,0.24175037202380953,0.2140842013888889,0.12647879464285713,0.08094308035714286,"거짓말, 뱀파이어가 어디 있어.jpg"
겉 뿐인 관계,BL,#f3eeee,#23262d,#c7c1c5,#4e4d53,#8d8488,0.40750868055555556,0.20872085813492064,0.1999937996031746,0.13120969742063493,0.052566964285714286,겉 뿐인 관계.jpg
게으른 남자의 욕망 스위치,BL,#f0e8e8,#d0c2c1,#7c798d,#3c4051,#13131b,0.4433345734126984,0.20856584821428573,0.13775731646825398,0.1363653273809524,0.07397693452380952,게으른 남자의 욕망 스위치.jpg
결혼학개론,BL,#fdf9f6,#edd1b0,#c19977,#6a596b,#1d1328,0.28898678099321184,0.2631096820292962,0.2570003572704537,0.11397141836370132,0.0769317613433369,결혼학개론.jpg
고독한 미인과 햇살 동정남[개정판],BL,#f402b0,#754651,#868fae,#faead7,#e0b290,0.2529637896825397,0.22919766865079366,0.2035187251984127,0.16004154265873016,0.1542782738095238,고독한 미인과 햇살 동정남[개정판].jpg
고양이에게 바치는 커튼콜,BL,#fd016e,#f8decd,#d64c59,#484a5a,#cc9595,0.2611297123015873,0.24636966765873017,0.2143012152777778,0.13997705853174602,0.13822234623015872,고양이에게 바치는 커튼콜.jpg
과묵한 친구는 사실 욕정 중입니다(개정판),BL,#fbfaf9,#f1d5c3,#daa685,#af6460,#4f3c36,0.3941313244047619,0.22523561507936507,0.15599888392857142,0.13918340773809523,0.08545076884920635,과묵한 친구는 사실 욕정 중입니다(개정판).jpg
구미호도 사랑을 하나요,BL,#e3d8e4,#bda4b4,#c0464f,#bd747e,#3a1c16,0.30932539682539684,0.2550688244047619,0.19810887896825397,0.14561321924603174,0.09188368055555556,구미호도 사랑을 하나요.jpg
권태,BL,#534f49,#35322f,#ae9f8c,#7d756d,#c4bdb5,0.3420696924603175,0.3359033978174603,0.12978050595238094,0.11750682043650794,0.07473958333333333,권태.jpg
귀애-눈꽃에 새기는 약속,BL,#f6f3f0,#e8d8d0,#886269,#c8a59f,#542f35,0.47599206349206347,0.27718874007936506,0.08872767857142858,0.08772011408730158,0.07037140376984127,귀애-눈꽃에 새기는 약속.jpg
귀여워,BL,#985d5d,#7a4445,#5d3d36,#f9b370,#230406,0.3775266617063492,0.2112816220238095,0.1838014632936508,0.1636997767857143,0.06369047619047619,귀여워.jpg
그 남자의 사랑방식,BL,#342229,#fdf9f5,#d69290,#8a5553,#981d1f,0.41439422123015873,0.2220579117063492,0.1347904265873016,0.12778707837301587,0.1009703621031746,그 남자의 사랑방식.jpg
그 비는 돌아오지 않는다,BL,#342f30,#b8afaf,#7c7a79,#5d5151,#ebeef4,0.2557849702380952,0.2335999503968254,0.22999441964285713,0.1752015128968254,0.10541914682539683,그 비는 돌아오지 않는다.jpg
그가 남긴 연인(개정판),BL,#fddfcc,#a8746e,#fefefd,#634f68,#dea88f,0.3101469494047619,0.19564422123015873,0.17867063492063492,0.1587983630952381,0.15673983134920635,그가 남긴 연인(개정판).jpg
그림자 왕관,BL,#f1eef4,#c6bac6,#ac9690,#815c6d,#39304d,0.31299293154761904,0.26883990575396827,0.17884424603174603,0.11987227182539682,0.11945064484126984,그림자 왕관.jpg
기브업(Give up) [BL],BL,#262d3e,#e7d0e1,#af8684,#d83eee,#5628dc,0.3535373263888889,0.23701946924603173,0.22745225694444443,0.11443142361111111,0.0675595238095238,기브업(Give up) [BL].jpg
